team,scorer,assist1,assist2
NSH,J.HLAVAC,J.ARNOTT,M.ZIDLICKY
NSH,J.ARNOTT,J.DUMONT,J.HLAVAC
NSH,R.BONK,M.ERAT,V.KOISTINEN
CAR,J.HAMILTON,J.CORVO,E.STAAL
WSH,A.SEMIN,S.FEDOROV,N.BACKSTROM
WSH,A.OVECHKIN,N.BACKSTROM,V.KOZLOV
CAR,E.COLE,,
PIT,R.MALONE,R.WHITNEY,S.GONCHAR
PIT,M.HOSSA,R.MALONE,B.ORPIK
OTT,C.SCHUBERT,C.NEIL,A.VOLCHENKOV
BUF,D.ROY,T.VANEK,
BUF,D.ROY,M.WEBER,M.AFINOGENOV
BUF,J.POMINVILLE,J.HECHT,H.TALLINDER
OTT,D.MCAMMOND,A.VERMETTE,A.VOLCHENKOV
OTT,D.ALFREDSSON,J.SPEZZA,D.HEATLEY
OTT,A.VOLCHENKOV,D.ALFREDSSON,
OTT,D.ALFREDSSON,,
OTT,A.VERMETTE,C.STILLMAN,
EDM,C.GLENCROSS,K.BRODZIAK,Z.STORTINI
EDM,A.COGLIANO,R.NILSSON,T.GILBERT
EDM,D.PENNER,A.HEMSKY,J.STOLL
MIN,N.SCHULTZ,M.PARRISH,J.SHEPPARD
EDM,K.BRODZIAK,,
MIN,S.HILL,E.BELANGER,
EDM,A.COGLIANO,S.GAGNER,R.NILSSON
MIN,T.FEDORUK,M.SKOULA,S.HILL
COL,J.LEOPOLD,P.FORSBERG,W.WOLSKI
COL,M.HEJDUK,P.STASTNY,R.SMYTH
MTL,A.KOSTITSYN,T.PLEKANEC,R.HAMRLIK
MTL,C.HIGGINS,M.LAPIERRE,
MTL,A.KOSTITSYN,M.STREIT,A.KOVALEV
OTT,A.VERMETTE,R.ROBITAILLE,M.LAPOINTE
MTL,F.BOUILLON,B.SMOLINSKI,
MTL,A.MARKOV,M.RYDER,A.KOVALEV
MTL,M.GRABOVSKI,S.KOSTITSYN,
MTL,T.KOSTOPOULOS,A.MARKOV,M.LAPIERRE
OTT,D.HEATLEY,D.ALFREDSSON,L.RICHARDSON
OTT,M.LAPOINTE,S.DONOVAN,R.ROBITAILLE
OTT,D.HEATLEY,M.COMMODORE,D.ALFREDSSON
OTT,J.SPEZZA,C.STILLMAN,D.ALFREDSSON
NYI,R.PARK,K.OKPOSO,M.SPILLER
PIT,P.SYKORA,T.KENNEDY,J.TAFFE
NYI,B.GUERIN,J.VASICEK,R.MARTINEK
NYI,S.BERGENHEIM,B.GUERIN,M.SATAN
NYI,T.HUNTER,M.SATAN,J.TAMBELLINI
PHI,V.PROSPAL,D.BRIERE,M.KNUBLE
PHI,B.COBURN,J.MODRY,J.LUPUL
PHI,D.BRIERE,M.RICHARDS,K.TIMONEN
PHI,S.HARTNELL,V.PROSPAL,D.BRIERE
NYI,M.SATAN,B.BERARD,R.PARK
STL,L.STEMPNIAK,,
CHI,A.BURISH,T.BROUWER,C.ADAMS
CHI,D.BYFUGLIEN,P.KANE,J.TOEWS
STL,D.KING,D.BACKES,B.JACKMAN
STL,K.TKACHUK,B.BOYES,
CHI,J.WISNIEWSKI,P.SHARP,A.LADD
CHI,P.KANE,N.HJALMARSSON,J.WISNIEWSKI
CGY,D.PHANEUF,,
MIN,B.POULIOT,P.BOUCHARD,
MIN,B.POULIOT,P.BOUCHARD,N.SCHULTZ
CGY,J.IGINLA,D.PHANEUF,J.VANDERMEER
CGY,J.IGINLA,A.TANGUAY,A.ERIKSSON
CGY,J.IGINLA,D.PHANEUF,A.ERIKSSON
